subject,pair_id,status,pct_win,pct_loss,pct_draw,most_played,mid_played,least_played,switch_after_win,switch_after_lose,switch_after_draw
sub-07_p2,7,Loser,30.851063829787233,35.74468085106383,33.40425531914894,34.8936170212766,32.97872340425532,32.12765957446809,88.27586206896552,86.22754491017965,83.43949044585987
sub-08_p1,8,Winner,35.294117647058826,32.142857142857146,32.563025210084035,42.64705882352941,36.134453781512605,21.218487394957982,65.47619047619048,61.18421052631579,65.16129032258064
sub-08_p2,8,Loser,32.142857142857146,35.294117647058826,32.563025210084035,38.865546218487395,33.193277310924366,27.941176470588236,80.92105263157895,70.83333333333334,65.16129032258064
sub-09_p1,9,Winner,34.17190775681342,30.60796645702306,35.22012578616352,38.36477987421384,37.735849056603776,23.89937106918239,38.036809815950924,72.41379310344827,49.404761904761905
sub-09_p2,9,Loser,30.60796645702306,34.17190775681342,35.22012578616352,35.63941299790356,34.80083857442348,29.559748427672954,65.51724137931035,74.23312883435584,60.11904761904761
sub-11_p1,11,Winner,37.01298701298701,29.87012987012987,33.116883116883116,36.14718614718615,32.467532467532465,31.38528138528138,72.94117647058823,73.18840579710145,71.24183006535948
sub-11_p2,11,Loser,29.87012987012987,37.01298701298701,33.116883116883116,36.36363636363637,35.28138528138528,28.354978354978357,73.91304347826086,81.17647058823529,75.16339869281046
sub-12_p1,12,Loser,34.475374732334046,36.83083511777302,28.693790149892934,40.471092077087796,36.188436830835116,23.340471092077088,54.37499999999999,79.06976744186046,68.65671641791045
sub-12_p2,12,Winner,36.83083511777302,34.475374732334046,28.693790149892934,43.897216274089935,28.4796573875803,27.62312633832976,68.6046511627907,73.75,67.16417910447761
sub-13_p1,13,Winner,33.40471092077088,32.11991434689507,34.475374732334046,36.402569593147746,31.905781584582442,31.69164882226981,65.16129032258064,76.0,72.67080745341616
sub-13_p2,13,Loser,32.11991434689507,33.40471092077088,34.475374732334046,34.90364025695932,34.26124197002141,30.83511777301927,57.333333333333336,81.29032258064515,72.04968944099379
sub-14_p1,14,Loser,30.526315789473685,36.21052631578948,33.26315789473684,35.78947368421053,32.421052631578945,31.789473684210527,86.11111111111111,80.23255813953489,84.17721518987342
sub-14_p2,14,Winner,36.21052631578948,30.526315789473685,33.26315789473684,35.1578947368421,34.31578947368421,30.526315789473685,80.81395348837209,70.13888888888889,61.39240506329114
